##### fcrypt -d -n 2..3 words/astro.txt
##### 23 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
COMET+SATURN=URANUS (61078+298354=359432)
COMET+URANUS=SATURN (80692+431745=512437)
EARTH+PHOBOS=EUROPA (94761+812523=907284)
EARTH+SATURN=TRITON (74290+849625=923915)
EARTH+URANUS=SATURN (94583+654067=748650)
EUROPA+JUPITER=NEPTUNE (794853+1956074=2750927)
EUROPA+PLANETS=NEPTUNE (457126+2963408=3420534)
EUROPA+SATURN=URANUS (697518+280974=978492)
EUROPA+URANUS=SATURN (178206+786579=964785)
MOON+SUN=PLUTO (9884+654=10538)
SATURN+TITAN=EUROPA (246157+69647=315804)
SATURN+URANUS=JUPITER (943567+564759=1508326)
SATURN+URANUS=PHOBOS (283650+658062=941712)
SATURN+URANUS=PLANETS (546790+794075=1340865)
URANUS+VENUS=EUROPA (582451+76451=658902)
15 unique-solution puzzles found (2627 puzzles examined)
Total time = 1340 msec.
##### Search 3 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
CHARON+COMET+EARTH=TRITON (180634+13972+70628=265234)
CHARON+COMET+IO=TRITON (793620+72148+52=865820)
CHARON+EARTH+MOON=TRITON (769314+59386+2114=830814)
CHARON+IO+TRITON=SATURN (645019+71+207219=852309)
CHARON+MARS+URANUS=SATURN (423087+9305+103715=536107)
CHARON+SATURN+TITAN=URANUS (208597+186457+63687=458741)
CHARON+TITAN+TRITON=URANUS (482073+15123+105173=602369)
COMET+DEIMOS+IO=TRITON (70295+491203+10=561508)
COMET+IO+MOON=EARTH (85492+75+4556=90123)
COMET+IO+TRITON=CHARON (74516+84+628649=703249)
COMET+MARS+MOON=URANUS (97432+4605+4778=106815)
COMET+MARS+SATURN=URANUS (52401+4836+681739=738976)
COMET+MOON+SATURN=URANUS (35129+1554+769804=806487)
COMET+MOON+SUN=SATURN (97452+4778+138=102368)
COMET+MOON+SUN=URANUS (97634+6772+812=105218)
DEIMOS+IO+MOON=PHOBOS (195847+54+8446=204347)
DEIMOS+MARS+MOON=URANUS (297516+5806+5114=308436)
EARTH+EUROPA+SUN=SATURN (71029+740531+846=812406)
EARTH+IO+TRITON=SATURN (86721+59+275294=362074)
EARTH+SATURN+TRITON=URANUS (90716+201473+178153=470342)
EARTH+SUN+URANUS=SATURN (42853+760+682067=725680)
EARTH+TITAN+TRITON=EUROPA (89761+63694+673604=827059)
EARTH+TITAN+VENUS=SATURN (91058+54517+69732=215307)
EARTH+TRITON+URANUS=SATURN (85316+130197+235724=451237)
EARTH+URANUS+VENUS=SATURN (72514+652068+97068=821650)
EUROPA+IO+TRITON=SATURN (402763+87+128179=531029)
EUROPA+IO+TRITON=URANUS (695734+87+258270=954091)
EUROPA+IO+URANUS=SATURN (538602+46+382739=921387)
EUROPA+MARS+URANUS=SATURN (431865+2517+315937=750319)
EUROPA+MOON+SATURN=URANUS (138764+5779+240389=384932)
EUROPA+PLANETS+SATURN=NEPTUNE (743250+5906781+108436=6758467)
EUROPA+PLUTO+SATURN=PLANETS (879312+14763+526790=1420865)
EUROPA+PLUTO+SUN=URANUS (564073+79620+168=643861)
EUROPA+SATURN+SUN=URANUS (152967+374528+358=527853)
EUROPA+SATURN+TRITON=NEPTUNE (720385+456201+609631=1786217)
EUROPA+SUN+TITAN=URANUS (452163+958+70738=523859)
EUROPA+TITAN+URANUS=NEPTUNE (586730+92901+860184=1539815)
EUROPA+TRITON+URANUS=NEPTUNE (480397+205231+807186=1492814)
GALAXY+SUN+URANUS=SATURN (268603+741+496147=765491)
IO+MOON+PHOBOS=TRITON (27+4771+597873=602671)
IO+SATURN+TITAN=CHARON (21+685409+52589=738019)
IO+SATURN+TITAN=EUROPA (86+145039+58549=203674)
IO+SATURN+TRITON=EUROPA (30+641952+153102=795084)
IO+SATURN+URANUS=CHARON (98+260175+176512=436785)
IO+SUN+TITAN=EARTH (98+637+49407=50142)
IO+TITAN+TRITON=EUROPA (45+24271+284251=308567)
IO+TITAN+TRITON=SATURN (23+42407+462437=504867)
IO+TITAN+URANUS=CHARON (97+59568+146813=206478)
IO+TITAN+URANUS=SATURN (41+74730+863089=937860)
IO+URANUS+VENUS=SATURN (30+541256+78256=619542)
JUPITER+PLUTO+TRITON=NEPTUNE (8761534+62750+541509=9365793)
MARS+MOON+URANUS=DEIMOS (9583+9667+185713=204963)
MARS+SATURN+URANUS=MERCURY (1934+495730+739074=1236738)
NEPTUNE+SUN+URANUS=PLANETS (4651346+834+372438=5024618)
PLANETS+URANUS+VENUS=NEPTUNE (4895612+709572+36572=5641756)
PLUTO+SUN+URANUS=EUROPA (69138+710+145017=214865)
PLUTO+SUN+URANUS=SATURN (17584+653+590356=608593)
SATURN+SUN+URANUS=CHARON (259348+238+345832=605418)
SATURN+TITAN+TRITON=EUROPA (613847+30317+340357=984521)
SATURN+TITAN+URANUS=CHARON (103589+36309+580951=720849)
SATURN+URANUS+VENUS=EUROPA (638201+203126+79126=920453)
SATURN+URANUS+VENUS=TRITON (507138+130815+94815=732768)
SUN+TRITON+URANUS=EUROPA (618+407498+102816=510932)
SUN+URANUS+VENUS=EUROPA (716+130617+82617=213950)
TITAN+TRITON+URANUS=NEPTUNE (68691+638671+539150=1246512)
65 unique-solution puzzles found (14730 puzzles examined)
Total time = 10990 msec.
