##### fcrypt -d -n 2..3 words/city-jp.txt
##### 53 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
AKITA+KYOTO=SENDAI (45674+58272=103946)
AKITA+MATSUE=AOMORI (51325+452768=504093)
AKITA+NAGANO=MORIOKA (73247+978790=1052037)
AKITA+OITA=KYOTO (34803+6803=41606)
AOMORI+FUKUOKA=OKAYAMA (942470+3656459=4598929)
AOMORI+SAPPORO=FUKUOKA (790968+1744969=2535937)
AOMORI+SENDAI=NAGANO (329246+508136=837382)
AOMORI+TOTTORI=ODAWARA (684803+7877803=8562606)
AOMORI+TOTTORI=OKAYAMA (682813+7877813=8560626)
CHIBA+HAKONE=NAGANO (96803+634572=731375)
CHIBA+NIKKO=HAKONE (71403+64559=135962)
FUJI+FUKUI=KYOTO (7562+75852=83414)
FUKUI+KOCHI=NAGANO (96365+30845=127210)
FUKUI+KYOTO=NAGANO (85450+43767=129217)
FUKUI+NIKKO=HAKONE (50807+97886=148693)
FUKUOKA+NAGANO=YOKOHAMA (9828027+376730=10204757)
FUKUOKA+TOTTORI=OKAYAMA (4636735+2722780=7359515)
HAKONE+MIYAZAKI=YOKOHAMA (352046+79851529=80203575)
HAKONE+MORIOKA=OKAYAMA (724610+5698642=6423252)
HAKONE+TOKYO=TOYAMA (751362+83143=834505)
KAMAKURA+MORIOKA=NAGASAKI (51915701+9402451=61318152)
KANAZAWA+MIYAZAKI=WAKAYAMA (59196979+20396950=79593929)
KOCHI+MITO=CHIBA (87934+5467=93401)
KOCHI+NIKKO=TOYAMA (85407+67885=153292)
KOCHI+OSAKA=NAGOYA (48520+89343=137863)
KOCHI+OSAKA=SENDAI (75834+51070=126904)
KOCHI+TSU=CHIBA (59604+827=60431)
KOFU+OTSU=OSAKA (9187+1307=10494)
KUMAMOTO+TOTTORI=WAKAYAMA (58171393+9399324=67570717)
KYOTO+MITO=TOKYO (52060+8460=60520)
KYOTO+OITA=SENDAI (98565+5762=104327)
KYOTO+OSAKA=MATSUE (74656+60373=135029)
KYOTO+OSAKA=TOKYO (41373+32040=73413)
KYOTO+TOKYO=HAKONE (93585+85935=179520)
KYOTO+TOKYO=SENDAI (74353+53743=128096)
MATSUE+TOTTORI=MORIOKA (938017+8588526=9526543)
MORIOKA+TOTTORI=KANAZAWA (7680612+4644680=12325292)
MORIOKA+TOTTORI=YAMAGATA (5760724+8788760=14549484)
NAGANO+OTSU=SENDAI (496947+7351=504298)
NAGOYA+NIKKO=SENDAI (385968+37119=423087)
NAGOYA+OKAYAMA=MORIOKA (609430+4803050=5412480)
NIKKO+OTSU=MATSUE (97226+6358=103584)
NIKKO+SENDAI=HAKONE (87665+328917=416582)
NIKKO+TOKYO=SENDAI (74552+92532=167084)
OITA+TOYAMA=NAGOYA (9850+592070=601920)
OKAYAMA+WAKAYAMA=KAMAKURA (9804060+70804060=80608120)
OKAYAMA+WAKAYAMA=KANAZAWA (9701030+60701030=70402060)
OKAYAMA+WAKAYAMA=YAMAGATA (9703040+20703040=30406080)
OKAYAMA+YAMAGATA=KANAZAWA (9504060+40603020=50107080)
OSAKA+TOKYO=HAKONE (84525+68278=152803)
OSAKA+TOYAMA=MATSUE (65212+863292=928504)
OSAKA+ZUSHI=HAKONE (83505+67319=150824)
OTSU+TSU=URAWA (9641+641=10282)
SAGA+TSU=KOCHI (9363+894=10257)
SAGA+TSU=NIKKO (9656+792=10448)
SAPPORO+TOYAMA=MORIOKA (6944050+108979=7053029)
SAPPORO+URAWA=MORIOKA (2977060+86959=3064019)
TOTTORI+YAMAGATA=YOKOHAMA (5955970+63238353=69194323)
58 unique-solution puzzles found (30021 puzzles examined)
Total time = 14590 msec.
##### Search 3 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
AKITA+AOMORI+HAKONE=TOTTORI (79417+752504+679583=1511504)
AKITA+AOMORI+MITO=MATSUE (40824+495978+5829=542631)
AKITA+AOMORI+MITO=NAGANO (62436+689804+9438=761678)
