##### fcrypt -d -n 2..3 words/computer.txt
##### 57 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
APPLE+CRACK=MEMORY (54483+76579=131062)
APPLE+CRACK=REBOOT (58863+71579=130442)
APPLE+FLOPPY=REBOOT (74431+538449=612880)
APPLE+FOLDER=REBOOT (85517+291473=376990)
APPLE+MAIL=FOLDER (96648+7934=104582)
CRACK+ERROR=FOLDER (52750+82232=134982)
CRACK+ERROR=HACKER (94590+64474=159064)
CRACK+HACK=ERROR (42641+9641=52282)
CRACK+HACK=MEMORY (98793+2793=101586)
CRACK+MEMORY=HACKER (97594+161873=259467)
CRACK+MPU=MOUSE (79274+861=80135)
CRACKER+HACKER=NETWORK (5235412+935412=6170824)
CRACKER+REBOOT=NETWORK (8618026+627334=9245360)
CRASH+ERROR=FOLDER (67230+87757=154987)
CRASH+HACKER=MEMORY (79285+527109=606394)
CRASH+HACKER=REBOOT (36845+583926=620771)
CRASH+IMAC=MEMORY (96328+5139=101467)
CRASH+REBOOT=HACKER (71082+136449=207531)
DOWN+WWW=ERROR (9364+666=10030)
ERROR+HACKER=MEMORY (78808+395278=474086)
ERROR+LINUX=MEMORY (24484+97356=121840)
ERROR+MEMORY=HACKER (58878+353780=412658)
ERROR+MONITOR=MACHINE (68818+9135718=9204536)
ERROR+REBOOT=HACKER (82242+289440=371682)
FLOPPY+MEMORY=REBOOT (198006+545876=743882)
FOLDER+MODEM=MEMORY (845237+94239=939476)
HACK+HACKER=REBOOT (4968+496805=501773)
IBOOK+IMAC=HACKER (98446+9207=107653)
IMAC+MODEM=ERROR (4763+75287=80050)
IMAC+WWW=CRASH (9821+444=10265)
MEMORY+MOUSE=FOLDER (484279+42108=526387)
MEMORY+REBOOT=NETWORK (838052+536007=1374059)
MONITOR+NETWORK=INTERNET (9821386+2534867=12356253)
33 unique-solution puzzles found (36324 puzzles examined)
Total time = 14730 msec.
##### Search 3 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
APPLE+BUG+GUI=IBOOK (29974+168+863=31005)
APPLE+CPU+ERROR=FOLDER (37786+574+69909=108269)
APPLE+CRACK+FILE=HACKER (68824+93695+7024=169543)
APPLE+CRACK+MAIL=HACKER (43305+97492+8460=149257)
APPLE+CRACK+PC=FOLDER (75583+92790+59=168432)
APPLE+CRACK+PC=MEMORY (63345+87689+38=151072)
APPLE+CRACKER+SCANNER=NETSCAPE (68823+4064730+9461130=13594683)
APPLE+ERROR+FILE=MEMORY (92236+65585+4036=161857)
APPLE+ERROR+FOLDER=MEMORY (39946+67757+154867=262570)
