##### fcrypt -d -n 2..3 words/fruit.txt
##### 21 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
APPLE+GRAPE=CHERRY (63374+90634=154008)
APPLE+LEMON=BANANA (67794+94832=162626)
APPLE+LITCHI=CHERRY (31176+794829=826005)
APPLE+PAPAYA=LITCHI (85569+585838=671407)
APPLE+PEAR=CHERRY (97745+7593=105338)
APPLE+PEAR=GRAPE (85572+5280=90852)
BANANA+GUAVA=ORANGE (249494+65474=314968)
BANANA+PEACH=LITCHI (416161+87129=503290)
CHERRY+PEACH=LITCHI (579113+29457=608570)
GRAPE+PEACH=LITCHI (25384+84376=109760)
GUAVA+LEMON=ORANGE (95676+30814=126490)
GUAVA+MELON=ORANGE (95676+30814=126490)
LEMON+MANGO=BANANA (42673+60357=103030)
LEMON+MELON=LITCHI (16835+86135=102970)
LEMON+PLUM=ORANGE (95312+8963=104275)
MELON+OLIVE=PAPAYA (59274+72089=131363)
MELON+PLUM=ORANGE (95816+7829=103645)
ORANGE+PAPAYA=CHERRY (291835+414161=705996)
PAPAYA+PLUM=CHERRY (595929+5843=601772)
19 unique-solution puzzles found (1945 puzzles examined)
Total time = 1500 msec.
##### Search 3 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
APPLE+BANANA+GRAPE=ORANGE (92241+690909+75921=859071)
APPLE+BANANA+LEMON=ORANGE (68872+164646+72934=306452)
APPLE+BANANA+PEACH=LITCHI (64431+269696+41680=375807)
APPLE+BANANA+PEAR=CHERRY (92265+390909+2597=485771)
APPLE+GRAPE+LEMON=MANGO (46617+20467+17839=84923)
APPLE+GRAPE+LEMON=ORANGE (90023+45903+23817=159743)
APPLE+GRAPE+MELON=ORANGE (81156+90816+36524=208496)
APPLE+GRAPE+PEAR=BANANA (56603+89563+6359=152525)
APPLE+GRAPE+PEAR=LITCHI (74416+50746+4670=129832)
APPLE+GRAPE+PEAR=ORANGE (92236+54926+2694=149856)
APPLE+GRAPE+PEAR=PEACH (26604+31264+6421=64289)
APPLE+GRAPE+PLUM=BANANA (67723+89673+7250=164646)
APPLE+GUAVA+LEMON=MANGO (46620+17454+20839=84913)
APPLE+GUAVA+MANGO=LEMON (10098+27131+61425=98654)
APPLE+LEMON+MANGO=GRAPE (37729+29164+13486=80379)
APPLE+LEMON+MELON=GUAVA (39915+15274+25174=80363)
APPLE+LEMON+ORANGE=PAPAYA (83351+51926+248601=383878)
APPLE+MANGO+MELON=GRAPE (34467+23189+27691=85347)
APPLE+MELON+PLUM=ORANGE (59946+36417+9423=105786)
BANANA+CHERRY+PEACH=PAPAYA (180808+347226+57834=585868)
BANANA+GRAPE+PEAR=CHERRY (870707+51736+3671=926114)
BANANA+GRAPE+PEAR=ORANGE (261616+74698+9864=346178)
BANANA+LEMON+PEAR=ORANGE (140404+87920+5743=234067)
BANANA+MELON+PEAR=ORANGE (140404+87920+5743=234067)
BANANA+PAPAYA+PEAR=CHERRY (460606+363616+3769=827991)
BANANA+PAPAYA+PEAR=ORANGE (417171+212101+2513=631785)
BANANA+PEACH+PEAR=CHERRY (875757+36791+3672=916220)
CHERRY+GRAPE+PEACH=ORANGE (847006+20537+37584=905127)
CHERRY+LITCHI+PEAR=PAPAYA (487663+102480+5796=595939)
CHERRY+ORANGE+PEACH=PAPAYA (647002+103957+87364=838323)
CHERRY+PAPAYA+PEAR=LITCHI (128449+373797+3874=506120)
CHERRY+PEAR+PLUM=PAPAYA (593221+6302+6487=606010)
GRAPE+GUAVA+PEAR=ORANGE (63784+65707+8473=137964)
GRAPE+LEMON+MANGO=BANANA (87451+91603+64380=243434)
GRAPE+LEMON+PLUM=ORANGE (40953+63218+5672=109843)
GRAPE+MANGO+ORANGE=PAPAYA (19852+68014+498012=585878)
GRAPE+MELON+PLUM=ORANGE (54370+80912+7968=143250)
GRAPE+ORANGE+PAPAYA=CHERRY (41259+312649+525202=879110)
GRAPE+PAPAYA+PEACH=CHERRY (78613+161646+13625=253884)
GUAVA+LEMON+MELON=APPLE (40858+16279+26179=83316)
GUAVA+MANGO+MELON=OLIVE (34505+15736+18967=69208)
GUAVA+MANGO+OLIVE=LEMON (24696+36521+17098=78315)
GUAVA+ORANGE+PEAR=PAPAYA (29080+470623+5307=505010)
LEMON+MANGO+MELON=APPLE (15374+39467+35174=90015)
LEMON+MELON+OLIVE=GUAVA (12349+32149+41572=86070)
LEMON+MELON+PLUM=BANANA (80574+50874+2895=134343)
LEMON+PAPAYA+PEAR=ORANGE (57092+848434+8741=914267)
MELON+PAPAYA+PEAR=ORANGE (57092+848434+8741=914267)
MELON+PEAR+PLUM=ORANGE (97518+3740+3569=104827)
ORANGE+PAPAYA+PEAR=CHERRY (493085+131373+1539=625997)
PAPAYA+PEACH+PEAR=LITCHI (646434+62409+6248=715091)
PAPAYA+PEAR+PLUM=CHERRY (797909+7295+7346=812550)
52 unique-solution puzzles found (9365 puzzles examined)
Total time = 14690 msec.
