##### fcrypt -d -n 2..3 words/japan.txt
##### 23 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
HAIKU+SUSHI=KIMONO (92315+45493=137808)
HAIKU+TOKYO=KARATE (54318+92172=146490)
JAPAN+NARA=KIMONO (97576+6787=104363)
KENDO+KIMONO=SASHIMI (94576+923656=1018232)
KYOTO+OSAKA=TOKYO (41373+32040=73413)
NARA+SAKE=NIKKO (1797+8756=10553)
NIKKO+TOKYO=KARATE (39115+85165=124280)
OSAKA+SAKE=KYOTO (75383+5384=80767)
8 unique-solution puzzles found (2577 puzzles examined)
Total time = 1740 msec.
##### Search 3 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
GO+HAIKU+OSAKA=KIMONO (94+63017+45313=108424)
GO+KOBE+OSAKA=KENDO (36+7602+64878=72516)
GO+KYOTO+SHOGI=TOKYO (51+37161+24159=61371)
GO+KYOTO+TOKYO=OSAKA (26+13656+56136=69818)
GO+NIKKO+SUSHI=KIMONO (38+52118+74702=126858)
GO+NIKKO+TOKYO=KARATE (38+59118+68108=127264)
GO+OSAKA+SAKE=NIKKO (67+75131+5139=80337)
GO+OSAKA+TOKYO=KYOTO (14+48676+24734=73424)
HAIKU+JAPAN+NIKKO=SUSHI (16073+46962+20775=83810)
HAIKU+KENDO+NIKKO=OSAKA (46038+31259+20339=97636)
HAIKU+KIMONO+SUSHI=SASHIMI (80293+924767+13182=1018242)
HAIKU+KYOTO+OSAKA=SUSHI (19635+37242+28939=85816)
HAIKU+KYOTO+SUSHI=TOKYO (26347+45989+17123=89459)
HAIKU+KYOTO+TOKYO=SHOGI (57820+23414+14234=95468)
HAIKU+NARA+NIKKO=KIMONO (78512+6838+65114=150464)
HAIKU+NIKKO+SUSHI=KENDO (15892+38996+42418=97306)
HAIKU+NIKKO+SUSHI=KIMONO (29713+57116+83827=170656)
HAIKU+OSAKA+SUSHI=JAPAN (23905+14303+45429=83637)
HAIKU+OSAKA+TOKYO=KYOTO (16894+50696+25935=93525)
HAIKU+OSAKA+TOKYO=SUSHI (37658+19757+41521=98936)
HAIKU+SHOGI+SUSHI=TOKYO (53462+15074+12154=80690)
HAIKU+SUSHI+TOKYO=KYOTO (30694+54536+12982=98212)
JAPAN+KENDO+NARA=KARATE (90702+15263+2080=108045)
JAPAN+KOBE+NIKKO=KIMONO (46867+1593+72115=120575)
JAPAN+KYOTO+NIKKO=KIMONO (25856+17494+60114=103464)
JAPAN+KYOTO+TOKYO=OSAKA (38984+10727+27107=76818)
JAPAN+NIKKO+TOKYO=KYOTO (10904+45886+26836=83626)
JAPAN+OSAKA+SUSHI=NIKKO (58689+12878+23204=94771)
JUDO+KENDO+SUSHI=NIKKO (3541+60841+25279=89661)
KARAOKE+KARATE+KYOTO=TEMPURA (8262081+826291+85090=9173462)
KARAOKE+KARATE+OSAKA=TEMPURA (6393560+639370+51363=7084293)
KARATE+KYOTO+NARA=KIMONO (345486+31080+2454=379020)
KENDO+KIMONO+NIKKO=SASHIMI (89542+867252+56882=1013676)
KENDO+KYOTO+TOKYO=KARATE (18256+14676+76146=109078)
KENDO+NIKKO+OSAKA=SHOGI (46201+27441+19545=93187)
KENDO+OSAKA+SAKE=KIMONO (14527+79616+9614=103757)
KENDO+OSAKA+SUSHI=HAIKU (17203+34818+46495=98516)
KIMONO+OSAKA+SASHIMI=KARAOKE (964252+28393+8380646=9373291)
KOBE+KYOTO+TOKYO=KIMONO (1793+16787+87167=105747)
KOBE+OSAKA+TOKYO=KYOTO (8439+47181+24804=80424)
KYOTO+NARA+TOKYO=KIMONO (19383+2747+83193=105323)
KYOTO+NIKKO+TOKYO=SUSHI (13656+28116+56136=97908)
KYOTO+OSAKA+SHOGI=TOKYO (18272+23616+30294=72182)
KYOTO+OSAKA+TOKYO=HAIKU (38121+15434+21381=74936)
KYOTO+SHOGI+TOKYO=HAIKU (13424+59460+24134=97018)
KYOTO+SHOGI+TOKYO=NIKKO (18454+23476+54184=96114)
NARA+NIKKO+SAKE=KIMONO (9262+90115+4218=103595)
NIKKO+OSAKA+SUSHI=HAIKU (48003+31606+17198=96807)
NIKKO+OSAKA+SUSHI=JAPAN (23661+14868+40453=78982)
NIKKO+OSAKA+SUSHI=TOKYO (16772+25474+50536=92782)
NIKKO+SAKE+TOKYO=KIMONO (64112+9018+72132=145262)
OSAKA+SAKE+SUSHI=KARATE (85414+5419+52576=143409)
OSAKA+SAKE+TOKYO=KYOTO (19262+9268+31601=60131)
OSAKA+SUSHI+TOKYO=HAIKU (21757+13194+62502=97453)
OSAKA+SUSHI+TOKYO=KYOTO (34898+47452+13963=96313)
55 unique-solution puzzles found (13826 puzzles examined)
Total time = 22470 msec.
