##### fcrypt -d -n 2..3 words/vegetabl.txt
##### 29 words were found
##### Search 2 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
BASIL+CARROT=POTATO (91572+316608=408180)
CABBAGE+LETTUCE=EGGPLANT (6355341+8122961=14478302)
CARROT+CELERY=PARSLEY (628870+654589=1283459)
CARROT+CELERY=POTATO (486607+421263=907870)
CARROT+MINT=POTATO (298805+7145=305950)
CARROT+ONION=TOMATO (493325+27627=520952)
CARROT+POTATO=LETTUCE (520068+968286=1488354)
CELERY+GARLIC=OREGANO (782834+603257=1386091)
CELERY+ONION=GARLIC (189837+64064=253901)
CELERY+PEPPER=GARLIC (415186+313318=728504)
CELERY+PEPPER=TOMATO (142435+646643=789078)
CELERY+TOMATO=LETTUCE (751592+836483=1588075)
CORN+GARLIC=POTATO (6074+197856=203930)
GARLIC+ONION=CELERY (594736+12312=607048)
GARLIC+ONION=PEPPER (623519+84184=707703)
OKRA+TOMATO=PEPPER (9234+698469=707703)
ONION+RADISH=TOMATO (57457+193468=250925)
PARSLEY+PEPPER=LETTUCE (6931752+656653=7588405)
PEPPER+POTATO=CELERY (363365+398289=761654)
PEPPER+THYME=CELERY (727723+96512=824235)
PEPPER+THYME=TURNIP (585587+62318=647905)
PEPPER+TOMATO=CELERY (252257+198319=450576)
PEPPER+TURNIP=CELERY (434432+102894=537326)
POTATO+TOMATO=LETTUCE (863536+369536=1233072)
POTATO+TOMATO=PUMPKIN (168486+863486=1031972)
THYME+TOMATO=CARROT (64091+659265=723356)
26 unique-solution puzzles found (4903 puzzles examined)
Total time = 2960 msec.
##### Search 3 words addition
Cryptarithmetic Puzzle Solver by N. Tamura (type help for help)
BASIL+CORN+ONION=CARROT (42058+1739+79579=123376)
BEAN+BEET+CARROT=TOMATO (9582+9554+387704=406840)
BEAN+BEET+TOMATO=CARROT (3201+3226+698069=704496)
BEAN+CORN+POTATO=CARROT (8507+2947+193039=204493)
BEAN+OKRA+PEPPER=CARROT (8901+5460+292296=306657)
BEAN+ONION+OREGANO=CABBAGE (3807+47147+4982074=5033028)
BEAN+ONION+PEPPER=TURNIP (2869+19719+383385=405973)
BEAN+OREGANO+TOMATO=CABBAGE (7450+2941502+628562=3577514)
BEAN+PEPPER+POTATO=TURNIP (8205+323327+316061=647593)
BEAN+POTATO+TOMATO=CARROT (7429+361216+160216=528861)
BEET+CARROT+OKRA=PEPPER (8003+695543+4159=707705)
BEET+CARROT+ONION=POTATO (6008+195538+37437=238983)
BEET+CARROT+ONION=TOMATO (2007+695587+84384=781978)
BEET+CELERY+PEPPER=PARSLEY (9667+864632+161163=1035462)
BEET+GARLIC+PEPPER=CABBAGE (5446+807391+242247=1055084)
BEET+LETTUCE+PEPPER=CABBAGE (6887+4877958+181183=5066028)
BEET+MINT+PEPPER=TOMATO (8992+4532+191196=204720)
BEET+OKRA+POTATO=CARROT (8662+9301+492129=510092)
